CollectionDate	IndID	R1_local	R2_local	RepNumber
8/13/20	NA19137	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-A01_S1_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-A01_S1_R2_001.fastq.gz	1
8/13/20	NA19152	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-A02_S2_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-A02_S2_R2_001.fastq.gz	1
8/13/20	NA19153	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-A03_S3_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-A03_S3_R2_001.fastq.gz	1
8/13/20	NA19171	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-A04_S4_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-A04_S4_R2_001.fastq.gz	1
8/13/20	NA19200	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-A05_S5_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-A05_S5_R2_001.fastq.gz	1
8/13/20	NA19160	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-A06_S6_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-A06_S6_R2_001.fastq.gz	1
8/13/20	NA19092	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-A07_S7_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-A07_S7_R2_001.fastq.gz	1
8/13/20	NA19210	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-A08_S8_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-A08_S8_R2_001.fastq.gz	1
8/13/20	NA19119	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-A09_S9_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-A09_S9_R2_001.fastq.gz	1
8/13/20	NA18909	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-A10_S10_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-A10_S10_R2_001.fastq.gz	1
8/13/20	NA18912	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-A11_S11_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-A11_S11_R2_001.fastq.gz	1
8/13/20	NA19131	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-A12_S12_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-A12_S12_R2_001.fastq.gz	1
8/13/20	NA19130	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-B01_S13_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-B01_S13_R2_001.fastq.gz	1
8/13/20	NA18519	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-B02_S14_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-B02_S14_R2_001.fastq.gz	1
8/13/20	NA19093	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-B03_S15_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-B03_S15_R2_001.fastq.gz	1
8/13/20	NA18511	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-B04_S16_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-B04_S16_R2_001.fastq.gz	1
8/13/20	NA18858	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-B05_S17_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-B05_S17_R2_001.fastq.gz	1
8/13/20	NA19138	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-B06_S18_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-B06_S18_R2_001.fastq.gz	1
8/13/20	NA18913	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-B07_S19_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-B07_S19_R2_001.fastq.gz	1
8/13/20	NA19101	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-B08_S20_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-B08_S20_R2_001.fastq.gz	1
8/13/20	NA18861	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-B09_S21_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-B09_S21_R2_001.fastq.gz	1
8/13/20	NA18907	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-B10_S22_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-B10_S22_R2_001.fastq.gz	1
1/19/21	NA19102	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-B11_S23_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-B11_S23_R2_001.fastq.gz	1
1/19/21	NA19114	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-B12_S24_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-B12_S24_R2_001.fastq.gz	1
1/19/21	NA19127	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-C01_S25_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-C01_S25_R2_001.fastq.gz	1
1/19/21	NA19190	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-C02_S26_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-C02_S26_R2_001.fastq.gz	1
1/19/21	NA18852	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-C03_S27_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-C03_S27_R2_001.fastq.gz	1
1/19/21	NA18486	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-C04_S28_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-C04_S28_R2_001.fastq.gz	1
1/19/21	NA18499	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-C05_S29_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-C05_S29_R2_001.fastq.gz	1
1/19/21	NA19201	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-C06_S30_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-C06_S30_R2_001.fastq.gz	1
1/19/21	NA19140	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-C07_S31_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-C07_S31_R2_001.fastq.gz	1
1/19/21	NA18855	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-C08_S32_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-C08_S32_R2_001.fastq.gz	1
1/19/21	NA18522	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-C09_S33_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-C09_S33_R2_001.fastq.gz	1
1/19/21	NA18505	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-C10_S34_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-C10_S34_R2_001.fastq.gz	1
1/19/21	NA18508	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-C11_S35_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-C11_S35_R2_001.fastq.gz	1
1/19/21	NA19128	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-C12_S36_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-C12_S36_R2_001.fastq.gz	1
1/19/21	NA19238	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-D01_S37_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-D01_S37_R2_001.fastq.gz	1
1/19/21	NA19257	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-D02_S38_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-D02_S38_R2_001.fastq.gz	1
1/19/21	NA18520	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-D03_S39_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-D03_S39_R2_001.fastq.gz	1
1/19/21	NA18497	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-D04_S40_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-D04_S40_R2_001.fastq.gz	1
1/19/21	NA19209	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-D05_S41_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-D05_S41_R2_001.fastq.gz	1
1/19/21	NA19225	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-D06_S42_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-D06_S42_R2_001.fastq.gz	1
1/19/21	NA19207	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-D07_S43_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-D07_S43_R2_001.fastq.gz	1
5/7/21	NA19195	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-D08_S44_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-D08_S44_R2_001.fastq.gz	1
5/7/21	NA19193	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-D09_S45_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-D09_S45_R2_001.fastq.gz	1
5/7/21	NA19184	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-D10_S46_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-D10_S46_R2_001.fastq.gz	1
5/7/21	NA18498	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-D11_S47_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-D11_S47_R2_001.fastq.gz	1
