#Columns I-K in this sheet references contents of cells in Human LCLs tab. tab separated values (tsv) organized like this is easier to parse with computer										
#ColumnsA-F are there to help me easily make the correct reference equations for columns I-K. Once you have a string for the desired cell equation, (minus the '=' sign, like in columns D-F) use search/replace to insert the '=' sign at the beginning of the string										
LineRowNumber	LineColumnNumber	LineColumnLetter	LineReferenceString	Notes1ReferenceString	Notes2ReferenceString	Box	Position	Line	Notes1	Notes2
4	2	B	Human LCLs'!B4	Human LCLs'!B5	Human LCLs'!B6	1	1	11992	7/18/07	
4	3	C	Human LCLs'!C4	Human LCLs'!C5	Human LCLs'!C6	1	2	11992	7/18/07	
4	4	D	Human LCLs'!D4	Human LCLs'!D5	Human LCLs'!D6	1	3	11992	7/18/07	
4	5	E	Human LCLs'!E4	Human LCLs'!E5	Human LCLs'!E6	1	4	11992	7/18/07	
4	6	F	Human LCLs'!F4	Human LCLs'!F5	Human LCLs'!F6	1	5	11992	7/18/07	
4	7	G	Human LCLs'!G4	Human LCLs'!G5	Human LCLs'!G6	1	6	11992	7/18/07	
4	8	H	Human LCLs'!H4	Human LCLs'!H5	Human LCLs'!H6	1	7	11992	7/18/07	
4	9	I	Human LCLs'!I4	Human LCLs'!I5	Human LCLs'!I6	1	8	11992	7/18/07	
4	10	J	Human LCLs'!J4	Human LCLs'!J5	Human LCLs'!J6	1	9	11992	7/18/07	
7	2	B	Human LCLs'!B7	Human LCLs'!B8	Human LCLs'!B9	1	10	11992	7/18/07	
7	3	C	Human LCLs'!C7	Human LCLs'!C8	Human LCLs'!C9	1	11	11992	7/18/07	
7	4	D	Human LCLs'!D7	Human LCLs'!D8	Human LCLs'!D9	1	12	11992	7/18/07	
7	5	E	Human LCLs'!E7	Human LCLs'!E8	Human LCLs'!E9	1	13	11992	7/18/07	
7	6	F	Human LCLs'!F7	Human LCLs'!F8	Human LCLs'!F9	1	14	11992	7/18/07	
7	7	G	Human LCLs'!G7	Human LCLs'!G8	Human LCLs'!G9	1	15	11992	7/18/07	
7	8	H	Human LCLs'!H7	Human LCLs'!H8	Human LCLs'!H9	1	16			
7	9	I	Human LCLs'!I7	Human LCLs'!I8	Human LCLs'!I9	1	17			
7	10	J	Human LCLs'!J7	Human LCLs'!J8	Human LCLs'!J9	1	18			
10	2	B	Human LCLs'!B10	Human LCLs'!B11	Human LCLs'!B12	1	19	11993		
10	3	C	Human LCLs'!C10	Human LCLs'!C11	Human LCLs'!C12	1	20	11993		
10	4	D	Human LCLs'!D10	Human LCLs'!D11	Human LCLs'!D12	1	21	11993		
10	5	E	Human LCLs'!E10	Human LCLs'!E11	Human LCLs'!E12	1	22	11993		
10	6	F	Human LCLs'!F10	Human LCLs'!F11	Human LCLs'!F12	1	23	11993		
10	7	G	Human LCLs'!G10	Human LCLs'!G11	Human LCLs'!G12	1	24	11993		
10	8	H	Human LCLs'!H10	Human LCLs'!H11	Human LCLs'!H12	1	25	11993		
10	9	I	Human LCLs'!I10	Human LCLs'!I11	Human LCLs'!I12	1	26	11993		
10	10	J	Human LCLs'!J10	Human LCLs'!J11	Human LCLs'!J12	1	27	11993		
13	2	B	Human LCLs'!B13	Human LCLs'!B14	Human LCLs'!B15	1	28	11993		
13	3	C	Human LCLs'!C13	Human LCLs'!C14	Human LCLs'!C15	1	29	11993		
13	4	D	Human LCLs'!D13	Human LCLs'!D14	Human LCLs'!D15	1	30	11993		
13	5	E	Human LCLs'!E13	Human LCLs'!E14	Human LCLs'!E15	1	31	11993		
13	6	F	Human LCLs'!F13	Human LCLs'!F14	Human LCLs'!F15	1	32			
13	7	G	Human LCLs'!G13	Human LCLs'!G14	Human LCLs'!G15	1	33			
13	8	H	Human LCLs'!H13	Human LCLs'!H14	Human LCLs'!H15	1	34			
13	9	I	Human LCLs'!I13	Human LCLs'!I14	Human LCLs'!I15	1	35			
13	10	J	Human LCLs'!J13	Human LCLs'!J14	Human LCLs'!J15	1	36			
16	2	B	Human LCLs'!B16	Human LCLs'!B17	Human LCLs'!B18	1	37	12145		
16	3	C	Human LCLs'!C16	Human LCLs'!C17	Human LCLs'!C18	1	38	12145		
16	4	D	Human LCLs'!D16	Human LCLs'!D17	Human LCLs'!D18	1	39	12145		
16	5	E	Human LCLs'!E16	Human LCLs'!E17	Human LCLs'!E18	1	40	12145		
16	6	F	Human LCLs'!F16	Human LCLs'!F17	Human LCLs'!F18	1	41	12145		
16	7	G	Human LCLs'!G16	Human LCLs'!G17	Human LCLs'!G18	1	42	12145		
16	8	H	Human LCLs'!H16	Human LCLs'!H17	Human LCLs'!H18	1	43	12145		
16	9	I	Human LCLs'!I16	Human LCLs'!I17	Human LCLs'!I18	1	44	12145		
16	10	J	Human LCLs'!J16	Human LCLs'!J17	Human LCLs'!J18	1	45	12145		
19	2	B	Human LCLs'!B19	Human LCLs'!B20	Human LCLs'!B21	1	46	12145		
19	3	C	Human LCLs'!C19	Human LCLs'!C20	Human LCLs'!C21	1	47	12145		
19	4	D	Human LCLs'!D19	Human LCLs'!D20	Human LCLs'!D21	1	48	12145		
19	5	E	Human LCLs'!E19	Human LCLs'!E20	Human LCLs'!E21	1	49	12145		
19	6	F	Human LCLs'!F19	Human LCLs'!F20	Human LCLs'!F21	1	50	12145		
19	7	G	Human LCLs'!G19	Human LCLs'!G20	Human LCLs'!G21	1	51	12145		
19	8	H	Human LCLs'!H19	Human LCLs'!H20	Human LCLs'!H21	1	52	12145		
19	9	I	Human LCLs'!I19	Human LCLs'!I20	Human LCLs'!I21	1	53	12145		
19	10	J	Human LCLs'!J19	Human LCLs'!J20	Human LCLs'!J21	1	54	12145		
22	2	B	Human LCLs'!B22	Human LCLs'!B23	Human LCLs'!B24	1	55	12145		
22	3	C	Human LCLs'!C22	Human LCLs'!C23	Human LCLs'!C24	1	56	07022		
22	4	D	Human LCLs'!D22	Human LCLs'!D23	Human LCLs'!D24	1	57	07022		
22	5	E	Human LCLs'!E22	Human LCLs'!E23	Human LCLs'!E24	1	58	07022		
22	6	F	Human LCLs'!F22	Human LCLs'!F23	Human LCLs'!F24	1	59	07022		
22	7	G	Human LCLs'!G22	Human LCLs'!G23	Human LCLs'!G24	1	60	07022		
22	8	H	Human LCLs'!H22	Human LCLs'!H23	Human LCLs'!H24	1	61	07022		
22	9	I	Human LCLs'!I22	Human LCLs'!I23	Human LCLs'!I24	1	62	07022		
22	10	J	Human LCLs'!J22	Human LCLs'!J23	Human LCLs'!J24	1	63	07022		
25	2	B	Human LCLs'!B25	Human LCLs'!B26	Human LCLs'!B27	1	64	07022		
25	3	C	Human LCLs'!C25	Human LCLs'!C26	Human LCLs'!C27	1	65	07022		
25	4	D	Human LCLs'!D25	Human LCLs'!D26	Human LCLs'!D27	1	66	07022		
25	5	E	Human LCLs'!E25	Human LCLs'!E26	Human LCLs'!E27	1	67	07022		
25	6	F	Human LCLs'!F25	Human LCLs'!F26	Human LCLs'!F27	1	68	07022		
25	7	G	Human LCLs'!G25	Human LCLs'!G26	Human LCLs'!G27	1	69	07022		
25	8	H	Human LCLs'!H25	Human LCLs'!H26	Human LCLs'!H27	1	70	07022		
25	9	I	Human LCLs'!I25	Human LCLs'!I26	Human LCLs'!I27	1	71	07022		
25	10	J	Human LCLs'!J25	Human LCLs'!J26	Human LCLs'!J27	1	72	11830		
28	2	B	Human LCLs'!B28	Human LCLs'!B29	Human LCLs'!B30	1	73	11830		
28	3	C	Human LCLs'!C28	Human LCLs'!C29	Human LCLs'!C30	1	74	11830		
28	4	D	Human LCLs'!D28	Human LCLs'!D29	Human LCLs'!D30	1	75	11830		
28	5	E	Human LCLs'!E28	Human LCLs'!E29	Human LCLs'!E30	1	76	11830		
28	6	F	Human LCLs'!F28	Human LCLs'!F29	Human LCLs'!F30	1	77	11830		
28	7	G	Human LCLs'!G28	Human LCLs'!G29	Human LCLs'!G30	1	78	11830		
28	8	H	Human LCLs'!H28	Human LCLs'!H29	Human LCLs'!H30	1	79	11830		
28	9	I	Human LCLs'!I28	Human LCLs'!I29	Human LCLs'!I30	1	80	11830		
28	10	J	Human LCLs'!J28	Human LCLs'!J29	Human LCLs'!J30	1	81	11830		
35	2	B	Human LCLs'!B35	Human LCLs'!B36	Human LCLs'!B37	2	1	11807		
35	3	C	Human LCLs'!C35	Human LCLs'!C36	Human LCLs'!C37	2	2	11807		
35	4	D	Human LCLs'!D35	Human LCLs'!D36	Human LCLs'!D37	2	3	11807		
35	5	E	Human LCLs'!E35	Human LCLs'!E36	Human LCLs'!E37	2	4	11807		
35	6	F	Human LCLs'!F35	Human LCLs'!F36	Human LCLs'!F37	2	5	11807		
35	7	G	Human LCLs'!G35	Human LCLs'!G36	Human LCLs'!G37	2	6	11807		
35	8	H	Human LCLs'!H35	Human LCLs'!H36	Human LCLs'!H37	2	7	11807		
35	9	I	Human LCLs'!I35	Human LCLs'!I36	Human LCLs'!I37	2	8	11807		
35	10	J	Human LCLs'!J35	Human LCLs'!J36	Human LCLs'!J37	2	9	11807		
38	2	B	Human LCLs'!B38	Human LCLs'!B39	Human LCLs'!B40	2	10	11807		
38	3	C	Human LCLs'!C38	Human LCLs'!C39	Human LCLs'!C40	2	11	11807		
38	4	D	Human LCLs'!D38	Human LCLs'!D39	Human LCLs'!D40	2	12	11807		
38	5	E	Human LCLs'!E38	Human LCLs'!E39	Human LCLs'!E40	2	13	11807		
38	6	F	Human LCLs'!F38	Human LCLs'!F39	Human LCLs'!F40	2	14	11807		
38	7	G	Human LCLs'!G38	Human LCLs'!G39	Human LCLs'!G40	2	15	19208		
38	8	H	Human LCLs'!H38	Human LCLs'!H39	Human LCLs'!H40	2	16	19208		
38	9	I	Human LCLs'!I38	Human LCLs'!I39	Human LCLs'!I40	2	17	19208		
38	10	J	Human LCLs'!J38	Human LCLs'!J39	Human LCLs'!J40	2	18	19208		
41	2	B	Human LCLs'!B41	Human LCLs'!B42	Human LCLs'!B43	2	19	11831		
41	3	C	Human LCLs'!C41	Human LCLs'!C42	Human LCLs'!C43	2	20	11831		
41	4	D	Human LCLs'!D41	Human LCLs'!D42	Human LCLs'!D43	2	21	11831		
41	5	E	Human LCLs'!E41	Human LCLs'!E42	Human LCLs'!E43	2	22	11831		
41	6	F	Human LCLs'!F41	Human LCLs'!F42	Human LCLs'!F43	2	23	11831		
41	7	G	Human LCLs'!G41	Human LCLs'!G42	Human LCLs'!G43	2	24	11831		
41	8	H	Human LCLs'!H41	Human LCLs'!H42	Human LCLs'!H43	2	25	11831		
41	9	I	Human LCLs'!I41	Human LCLs'!I42	Human LCLs'!I43	2	26	11831		
41	10	J	Human LCLs'!J41	Human LCLs'!J42	Human LCLs'!J43	2	27	11831		
44	2	B	Human LCLs'!B44	Human LCLs'!B45	Human LCLs'!B46	2	28	11831		
44	3	C	Human LCLs'!C44	Human LCLs'!C45	Human LCLs'!C46	2	29	11831		
44	4	D	Human LCLs'!D44	Human LCLs'!D45	Human LCLs'!D46	2	30	11831		
44	5	E	Human LCLs'!E44	Human LCLs'!E45	Human LCLs'!E46	2	31	11831		
44	6	F	Human LCLs'!F44	Human LCLs'!F45	Human LCLs'!F46	2	32	11831		
44	7	G	Human LCLs'!G44	Human LCLs'!G45	Human LCLs'!G46	2	33	11831		
44	8	H	Human LCLs'!H44	Human LCLs'!H45	Human LCLs'!H46	2	34	11831		
44	9	I	Human LCLs'!I44	Human LCLs'!I45	Human LCLs'!I46	2	35	11831		
44	10	J	Human LCLs'!J44	Human LCLs'!J45	Human LCLs'!J46	2	36	11831		
47	2	B	Human LCLs'!B47	Human LCLs'!B48	Human LCLs'!B49	2	37	11831		
47	3	C	Human LCLs'!C47	Human LCLs'!C48	Human LCLs'!C49	2	38	18854		
47	4	D	Human LCLs'!D47	Human LCLs'!D48	Human LCLs'!D49	2	39	18854		
47	5	E	Human LCLs'!E47	Human LCLs'!E48	Human LCLs'!E49	2	40	18854		
47	6	F	Human LCLs'!F47	Human LCLs'!F48	Human LCLs'!F49	2	41	18854		
47	7	G	Human LCLs'!G47	Human LCLs'!G48	Human LCLs'!G49	2	42	18854		
47	8	H	Human LCLs'!H47	Human LCLs'!H48	Human LCLs'!H49	2	43	18854		
47	9	I	Human LCLs'!I47	Human LCLs'!I48	Human LCLs'!I49	2	44	18854		
47	10	J	Human LCLs'!J47	Human LCLs'!J48	Human LCLs'!J49	2	45	18854		
50	2	B	Human LCLs'!B50	Human LCLs'!B51	Human LCLs'!B52	2	46	12814		
50	3	C	Human LCLs'!C50	Human LCLs'!C51	Human LCLs'!C52	2	47	12814		
50	4	D	Human LCLs'!D50	Human LCLs'!D51	Human LCLs'!D52	2	48	12814		
50	5	E	Human LCLs'!E50	Human LCLs'!E51	Human LCLs'!E52	2	49	12814		
50	6	F	Human LCLs'!F50	Human LCLs'!F51	Human LCLs'!F52	2	50	12814		
50	7	G	Human LCLs'!G50	Human LCLs'!G51	Human LCLs'!G52	2	51	12814		
50	8	H	Human LCLs'!H50	Human LCLs'!H51	Human LCLs'!H52	2	52	12814		
50	9	I	Human LCLs'!I50	Human LCLs'!I51	Human LCLs'!I52	2	53	12814		
50	10	J	Human LCLs'!J50	Human LCLs'!J51	Human LCLs'!J52	2	54	12814		
53	2	B	Human LCLs'!B53	Human LCLs'!B54	Human LCLs'!B55	2	55	12814		
53	3	C	Human LCLs'!C53	Human LCLs'!C54	Human LCLs'!C55	2	56	12814		
53	4	D	Human LCLs'!D53	Human LCLs'!D54	Human LCLs'!D55	2	57	12814		
53	5	E	Human LCLs'!E53	Human LCLs'!E54	Human LCLs'!E55	2	58	12814		
53	6	F	Human LCLs'!F53	Human LCLs'!F54	Human LCLs'!F55	2	59	12814		
53	7	G	Human LCLs'!G53	Human LCLs'!G54	Human LCLs'!G55	2	60	12814		
53	8	H	Human LCLs'!H53	Human LCLs'!H54	Human LCLs'!H55	2	61	12814		
53	9	I	Human LCLs'!I53	Human LCLs'!I54	Human LCLs'!I55	2	62	12814		
53	10	J	Human LCLs'!J53	Human LCLs'!J54	Human LCLs'!J55	2	63	12814		
56	2	B	Human LCLs'!B56	Human LCLs'!B57	Human LCLs'!B58	2	64	12814		
56	3	C	Human LCLs'!C56	Human LCLs'!C57	Human LCLs'!C58	2	65	12814		
56	4	D	Human LCLs'!D56	Human LCLs'!D57	Human LCLs'!D58	2	66	19208		
56	5	E	Human LCLs'!E56	Human LCLs'!E57	Human LCLs'!E58	2	67	19208		
56	6	F	Human LCLs'!F56	Human LCLs'!F57	Human LCLs'!F58	2	68	19208		
56	7	G	Human LCLs'!G56	Human LCLs'!G57	Human LCLs'!G58	2	69	11995		
56	8	H	Human LCLs'!H56	Human LCLs'!H57	Human LCLs'!H58	2	70	11995		
56	9	I	Human LCLs'!I56	Human LCLs'!I57	Human LCLs'!I58	2	71	11995		
56	10	J	Human LCLs'!J56	Human LCLs'!J57	Human LCLs'!J58	2	72	11995		
59	2	B	Human LCLs'!B59	Human LCLs'!B60	Human LCLs'!B61	2	73	11995		
59	3	C	Human LCLs'!C59	Human LCLs'!C60	Human LCLs'!C61	2	74	11995		
59	4	D	Human LCLs'!D59	Human LCLs'!D60	Human LCLs'!D61	2	75	11995		
59	5	E	Human LCLs'!E59	Human LCLs'!E60	Human LCLs'!E61	2	76	11995		
59	6	F	Human LCLs'!F59	Human LCLs'!F60	Human LCLs'!F61	2	77	11995		
59	7	G	Human LCLs'!G59	Human LCLs'!G60	Human LCLs'!G61	2	78	11995		
59	8	H	Human LCLs'!H59	Human LCLs'!H60	Human LCLs'!H61	2	79	11995		
59	9	I	Human LCLs'!I59	Human LCLs'!I60	Human LCLs'!I61	2	80	11995		
59	10	J	Human LCLs'!J59	Human LCLs'!J60	Human LCLs'!J61	2	81	11995		
66	2	B	Human LCLs'!B66	Human LCLs'!B67	Human LCLs'!B68	3	1	12044		
66	3	C	Human LCLs'!C66	Human LCLs'!C67	Human LCLs'!C68	3	2	12044		
66	4	D	Human LCLs'!D66	Human LCLs'!D67	Human LCLs'!D68	3	3	12044		
66	5	E	Human LCLs'!E66	Human LCLs'!E67	Human LCLs'!E68	3	4	12044		
66	6	F	Human LCLs'!F66	Human LCLs'!F67	Human LCLs'!F68	3	5	12044		
66	7	G	Human LCLs'!G66	Human LCLs'!G67	Human LCLs'!G68	3	6	12044		
66	8	H	Human LCLs'!H66	Human LCLs'!H67	Human LCLs'!H68	3	7	12044		
66	9	I	Human LCLs'!I66	Human LCLs'!I67	Human LCLs'!I68	3	8	12044		
66	10	J	Human LCLs'!J66	Human LCLs'!J67	Human LCLs'!J68	3	9	12044		
69	2	B	Human LCLs'!B69	Human LCLs'!B70	Human LCLs'!B71	3	10	12044		
69	3	C	Human LCLs'!C69	Human LCLs'!C70	Human LCLs'!C71	3	11	12044		
69	4	D	Human LCLs'!D69	Human LCLs'!D70	Human LCLs'!D71	3	12	12044		
69	5	E	Human LCLs'!E69	Human LCLs'!E70	Human LCLs'!E71	3	13	12044		
69	6	F	Human LCLs'!F69	Human LCLs'!F70	Human LCLs'!F71	3	14	12044		
69	7	G	Human LCLs'!G69	Human LCLs'!G70	Human LCLs'!G71	3	15	12044		
69	8	H	Human LCLs'!H69	Human LCLs'!H70	Human LCLs'!H71	3	16	19102		
69	9	I	Human LCLs'!I69	Human LCLs'!I70	Human LCLs'!I71	3	17	19238		
69	10	J	Human LCLs'!J69	Human LCLs'!J70	Human LCLs'!J71	3	18	11807		
72	2	B	Human LCLs'!B72	Human LCLs'!B73	Human LCLs'!B74	3	19	12264		
72	3	C	Human LCLs'!C72	Human LCLs'!C73	Human LCLs'!C74	3	20	12264		
72	4	D	Human LCLs'!D72	Human LCLs'!D73	Human LCLs'!D74	3	21	12264		
72	5	E	Human LCLs'!E72	Human LCLs'!E73	Human LCLs'!E74	3	22	12264		
72	6	F	Human LCLs'!F72	Human LCLs'!F73	Human LCLs'!F74	3	23	12264		
72	7	G	Human LCLs'!G72	Human LCLs'!G73	Human LCLs'!G74	3	24	12264		
72	8	H	Human LCLs'!H72	Human LCLs'!H73	Human LCLs'!H74	3	25	12264		
72	9	I	Human LCLs'!I72	Human LCLs'!I73	Human LCLs'!I74	3	26	12264		
72	10	J	Human LCLs'!J72	Human LCLs'!J73	Human LCLs'!J74	3	27	12264		
75	2	B	Human LCLs'!B75	Human LCLs'!B76	Human LCLs'!B77	3	28	12264		
75	3	C	Human LCLs'!C75	Human LCLs'!C76	Human LCLs'!C77	3	29	12264		
75	4	D	Human LCLs'!D75	Human LCLs'!D76	Human LCLs'!D77	3	30	12264		
75	5	E	Human LCLs'!E75	Human LCLs'!E76	Human LCLs'!E77	3	31	12264		
75	6	F	Human LCLs'!F75	Human LCLs'!F76	Human LCLs'!F77	3	32	12264		
75	7	G	Human LCLs'!G75	Human LCLs'!G76	Human LCLs'!G77	3	33			
75	8	H	Human LCLs'!H75	Human LCLs'!H76	Human LCLs'!H77	3	34	18871		
75	9	I	Human LCLs'!I75	Human LCLs'!I76	Human LCLs'!I77	3	35	18871		
75	10	J	Human LCLs'!J75	Human LCLs'!J76	Human LCLs'!J77	3	36	18871		
78	2	B	Human LCLs'!B78	Human LCLs'!B79	Human LCLs'!B80	3	37	18501		
78	3	C	Human LCLs'!C78	Human LCLs'!C79	Human LCLs'!C80	3	38	18501		
78	4	D	Human LCLs'!D78	Human LCLs'!D79	Human LCLs'!D80	3	39	18501		
78	5	E	Human LCLs'!E78	Human LCLs'!E79	Human LCLs'!E80	3	40	18501		
78	6	F	Human LCLs'!F78	Human LCLs'!F79	Human LCLs'!F80	3	41	18501		
78	7	G	Human LCLs'!G78	Human LCLs'!G79	Human LCLs'!G80	3	42	18501		
78	8	H	Human LCLs'!H78	Human LCLs'!H79	Human LCLs'!H80	3	43	18501		
78	9	I	Human LCLs'!I78	Human LCLs'!I79	Human LCLs'!I80	3	44	18501		
78	10	J	Human LCLs'!J78	Human LCLs'!J79	Human LCLs'!J80	3	45	18501		
81	2	B	Human LCLs'!B81	Human LCLs'!B82	Human LCLs'!B83	3	46	18501		
81	3	C	Human LCLs'!C81	Human LCLs'!C82	Human LCLs'!C83	3	47	18501		
81	4	D	Human LCLs'!D81	Human LCLs'!D82	Human LCLs'!D83	3	48	18504		
81	5	E	Human LCLs'!E81	Human LCLs'!E82	Human LCLs'!E83	3	49	18504		
81	6	F	Human LCLs'!F81	Human LCLs'!F82	Human LCLs'!F83	3	50	18504		
81	7	G	Human LCLs'!G81	Human LCLs'!G82	Human LCLs'!G83	3	51	18504		
81	8	H	Human LCLs'!H81	Human LCLs'!H82	Human LCLs'!H83	3	52			
81	9	I	Human LCLs'!I81	Human LCLs'!I82	Human LCLs'!I83	3	53			
81	10	J	Human LCLs'!J81	Human LCLs'!J82	Human LCLs'!J83	3	54			
84	2	B	Human LCLs'!B84	Human LCLs'!B85	Human LCLs'!B86	3	55	19102		
84	3	C	Human LCLs'!C84	Human LCLs'!C85	Human LCLs'!C86	3	56	19102		
84	4	D	Human LCLs'!D84	Human LCLs'!D85	Human LCLs'!D86	3	57	19102		
84	5	E	Human LCLs'!E84	Human LCLs'!E85	Human LCLs'!E86	3	58	19102		
84	6	F	Human LCLs'!F84	Human LCLs'!F85	Human LCLs'!F86	3	59	19102		
84	7	G	Human LCLs'!G84	Human LCLs'!G85	Human LCLs'!G86	3	60	19102		
84	8	H	Human LCLs'!H84	Human LCLs'!H85	Human LCLs'!H86	3	61	19102		
84	9	I	Human LCLs'!I84	Human LCLs'!I85	Human LCLs'!I86	3	62	19102		
84	10	J	Human LCLs'!J84	Human LCLs'!J85	Human LCLs'!J86	3	63	19102		
87	2	B	Human LCLs'!B87	Human LCLs'!B88	Human LCLs'!B89	3	64	19210		
87	3	C	Human LCLs'!C87	Human LCLs'!C88	Human LCLs'!C89	3	65	19210		
87	4	D	Human LCLs'!D87	Human LCLs'!D88	Human LCLs'!D89	3	66	19210		
87	5	E	Human LCLs'!E87	Human LCLs'!E88	Human LCLs'!E89	3	67	19210		
87	6	F	Human LCLs'!F87	Human LCLs'!F88	Human LCLs'!F89	3	68	19210		
87	7	G	Human LCLs'!G87	Human LCLs'!G88	Human LCLs'!G89	3	69	19210		
87	8	H	Human LCLs'!H87	Human LCLs'!H88	Human LCLs'!H89	3	70	19210		
87	9	I	Human LCLs'!I87	Human LCLs'!I88	Human LCLs'!I89	3	71	19210		
87	10	J	Human LCLs'!J87	Human LCLs'!J88	Human LCLs'!J89	3	72	19210		
90	2	B	Human LCLs'!B90	Human LCLs'!B91	Human LCLs'!B92	3	73			
90	3	C	Human LCLs'!C90	Human LCLs'!C91	Human LCLs'!C92	3	74			
90	4	D	Human LCLs'!D90	Human LCLs'!D91	Human LCLs'!D92	3	75			
90	5	E	Human LCLs'!E90	Human LCLs'!E91	Human LCLs'!E92	3	76			
90	6	F	Human LCLs'!F90	Human LCLs'!F91	Human LCLs'!F92	3	77			
90	7	G	Human LCLs'!G90	Human LCLs'!G91	Human LCLs'!G92	3	78	19210		
90	8	H	Human LCLs'!H90	Human LCLs'!H91	Human LCLs'!H92	3	79	19210		
90	9	I	Human LCLs'!I90	Human LCLs'!I91	Human LCLs'!I92	3	80	19210		
90	10	J	Human LCLs'!J90	Human LCLs'!J91	Human LCLs'!J92	3	81	19210		
97	2	B	Human LCLs'!B97	Human LCLs'!B98	Human LCLs'!B99	4	1	19171		
97	3	C	Human LCLs'!C97	Human LCLs'!C98	Human LCLs'!C99	4	2	19171		
97	4	D	Human LCLs'!D97	Human LCLs'!D98	Human LCLs'!D99	4	3	19171		
97	5	E	Human LCLs'!E97	Human LCLs'!E98	Human LCLs'!E99	4	4	19171		
97	6	F	Human LCLs'!F97	Human LCLs'!F98	Human LCLs'!F99	4	5	19171		
97	7	G	Human LCLs'!G97	Human LCLs'!G98	Human LCLs'!G99	4	6	19171		
97	8	H	Human LCLs'!H97	Human LCLs'!H98	Human LCLs'!H99	4	7	19171		
97	9	I	Human LCLs'!I97	Human LCLs'!I98	Human LCLs'!I99	4	8	19171		
97	10	J	Human LCLs'!J97	Human LCLs'!J98	Human LCLs'!J99	4	9	19171		
100	2	B	Human LCLs'!B100	Human LCLs'!B101	Human LCLs'!B102	4	10	19171		
100	3	C	Human LCLs'!C100	Human LCLs'!C101	Human LCLs'!C102	4	11	19171		
100	4	D	Human LCLs'!D100	Human LCLs'!D101	Human LCLs'!D102	4	12			
100	5	E	Human LCLs'!E100	Human LCLs'!E101	Human LCLs'!E102	4	13	18907		
100	6	F	Human LCLs'!F100	Human LCLs'!F101	Human LCLs'!F102	4	14	18907		
100	7	G	Human LCLs'!G100	Human LCLs'!G101	Human LCLs'!G102	4	15	18907		
100	8	H	Human LCLs'!H100	Human LCLs'!H101	Human LCLs'!H102	4	16	18907		
100	9	I	Human LCLs'!I100	Human LCLs'!I101	Human LCLs'!I102	4	17	19130		
100	10	J	Human LCLs'!J100	Human LCLs'!J101	Human LCLs'!J102	4	18	19130		
103	2	B	Human LCLs'!B103	Human LCLs'!B104	Human LCLs'!B105	4	19	19200		
103	3	C	Human LCLs'!C103	Human LCLs'!C104	Human LCLs'!C105	4	20	19200		
103	4	D	Human LCLs'!D103	Human LCLs'!D104	Human LCLs'!D105	4	21	19200		
103	5	E	Human LCLs'!E103	Human LCLs'!E104	Human LCLs'!E105	4	22	19200		
103	6	F	Human LCLs'!F103	Human LCLs'!F104	Human LCLs'!F105	4	23	19200		
